body,x,y,z
world,0.0,0.0,0.0
rod_base,0.0,0.0,0.3
rod_upright,0.0,0.0,0.3
rodB_first,0.0,0.0,0.3
rodB_1,2.2386822518129822e-07,8.898813846192791e-06,0.31333333068472885
rodB_2,-0.0003315019493244304,0.0019982899401564005,0.3265132421911035
rodB_3,-0.0009855963295276888,0.005881224535121779,0.3392518730512003
rodB_4,-0.0019403117435178696,0.01149898972348035,0.35130621122567657
rodB_5,-0.0032137406187044675,0.018740953093375083,0.3624287191041554
rodB_6,-0.0047862643363715185,0.02742344252618327,0.3724246774765328
rodB_7,-0.006628633098898985,0.03732512392732877,0.3811619664628804
rodB_8,-0.00875106097421871,0.04830044450916269,0.38842939201103144
rodB_9,-0.011124882327372694,0.06011772531265612,0.39412978532820253
rodB_10,-0.013715181570369224,0.0725360806937511,0.3982350056877786
rodB_11,-0.016517615071691017,0.08535332435830009,0.40061030988050556
rodB_12,-0.019497250018874767,0.09833338931019134,0.40125647199954795
rodB_13,-0.022616613796693753,0.11125666216521111,0.40023842269120424
rodB_14,-0.025858321590109448,0.12390095517729031,0.39751977948830464
rodB_15,-0.029184741276280037,0.13606238263196885,0.39318244731357704
rodB_16,-0.03255925341342731,0.14757264698686173,0.3873597058308554
rodB_17,-0.035955196496611386,0.15822705524645403,0.3800982327522311
rodB_18,-0.039334264494469674,0.1678733432349266,0.37153619641716235
rodB_19,-0.04266235053458256,0.17640701005167145,0.3618471195762929
rodB_20,-0.04590475753063963,0.18365559113762528,0.3511362324732217
rodB_21,-0.04902254968372088,0.18952487488765926,0.3395773259918321
rodB_22,-0.051984095634852484,0.19397581661086494,0.32736275264481335
rodB_23,-0.05474646974568176,0.19688008063617526,0.31464611892493394
rodB_24,-0.05727026602567484,0.19820873796711577,0.3016214284976044
rodB_25,-0.059526983896318525,0.19799173754998323,0.2884822364108075
rodB_26,-0.061476027491864475,0.19626868076163323,0.2754051670502619
rodB_27,-0.06308328277414553,0.19310789126243005,0.2625519817010276
rodB_28,-0.06432906017905535,0.1886247205912355,0.2500569163516949
rodB_29,-0.06466178545731661,0.18498876860749935,0.23723324348644648
rodB_30,-0.06408155913088365,0.1822249107111619,0.22420240850316805
rodB_31,-0.06260760931877118,0.18033883851001184,0.21108571523477299
rodB_32,-0.06023003544860839,0.1793556486763217,0.19800295124296635
rodB_33,-0.05696843681907517,0.1792715917780836,0.1850749835948237
rodB_34,-0.05286034202966314,0.18006422477735604,0.1724150656032988
rodB_35,-0.047908749737556704,0.181740058871982,0.1601492287972028
rodB_36,-0.04214986961720042,0.18427137770430024,0.14839315958074045
rodB_37,-0.035636939543098,0.1876125379753388,0.13724880570464917
rodB_38,-0.02839474038070091,0.191742809129177,0.12684357383881914
rodB_39,-0.020479053974747738,0.19660849213968556,0.11728091331689354
rodB_40,-0.011960470770230852,0.20214003068833133,0.10864292456802739
rodB_41,-0.0028884228352798053,0.20828643518601644,0.10104706406966876
rodB_42,0.006661589127977631,0.21496838974765597,0.09457202017548837
rodB_43,0.016603823966418442,0.22209523434937742,0.08926754177191783
rodB_44,0.026865726554230397,0.22958760374117312,0.08522585958885598
rodB_45,0.03735724255942098,0.23734691259952384,0.08248720186900138
rodB_46,0.04798512665899912,0.24527041533110608,0.08105764853936269
rodB_47,0.05865483963735798,0.2532661748974611,0.08100772249184676
rodB_48,0.06926152415495365,0.261235165597843,0.08233846268255336
rodB_49,0.0797041929747951,0.26908127809929727,0.0850155180102171
rodB_50,0.08986562960542188,0.27671381391475336,0.08904895708630414
rodB_51,0.0996318837677334,0.28404746481891896,0.09439828253412486
rodB_52,0.10890077851894761,0.2910060526296998,0.10098941934535126
rodB_last,0.11754704212670261,0.29749556413202444,0.10879363646048495
ring_1_body,-0.0010453087360686461,0.0061319434161769505,0.3391394761984002
ring_2_body,-0.00484167592074047,0.027620311939780408,0.3723060400629696
ring_3_body,-0.011189007544019592,0.06027539787408101,0.39394572276845974
ring_4_body,-0.019561083856164178,0.09839927479437395,0.40101403035725963
ring_5_body,-0.029233912620855153,0.13598609523893557,0.3929493368471378
ring_6_body,-0.03936431503233209,0.16770560978843851,0.3713851624849355
ring_7_body,-0.04902648466503121,0.18932902462067688,0.33954957899028926
ring_8_body,-0.05723139723903003,0.19810241210008533,0.3017860270379901
ring_9_body,-0.063005888420889,0.19303207286256188,0.2630668134359934
ring_10_body,-0.06401764467704286,0.182463737675777,0.22433784189988226
ring_11_body,-0.0568909917569648,0.17950671597414491,0.18523156231516563
ring_12_body,-0.04206219094287774,0.18445317571744207,0.14856891742998363
ring_13_body,-0.020374215547451596,0.19670703367650966,0.1174624088777855
ring_14_body,0.006793450786491074,0.21496759123728096,0.09475615130144648
ring_15_body,0.03728953459267857,0.23747081283002833,0.08290559632781505
ring_16_body,0.06923667743671895,0.261301597334738,0.08263861331564819
ring_17_body,0.09960563299009652,0.28393919506689214,0.09455763866785717
ring_18_body,0.12520840674786646,0.30329619315550144,0.11757937583173556
